 baseMean log2FoldChange lfcSE stat pvalue padj evalue positive pch
YLR399C 1493.19551176449 -2.32435036492508 0.206953294533952 -11.2312798409873 2.86301104447739e-29 1.75788878130911e-25 1.79625312930511e-25 TRUE 3
YDR007W 418.912097510423 -1.60436459035162 0.144570602825028 -11.0974469152166 1.29078529411019e-28 3.96271085291827e-25 8.09838693524731e-25 TRUE 3
YJL088W 229.898138479981 2.92627302682398 0.272464077319396 10.7400324314815 6.60211902094482e-27 1.35123369295337e-23 4.14216947374078e-23 TRUE 3
YOL058W 981.128724631001 2.398802165052 0.234449386633096 10.2316418886863 1.43072836207962e-24 2.19616803579222e-21 8.97638974368756e-21 TRUE 3
YFR047C 109.016690125799 2.10773624341704 0.243333571956223 8.66192127322336 4.6387868694124e-18 0.00000000000000569643027563843 0.0000000000000291037488186934 TRUE 3
YBR294W 98.8111126272799 1.75061911191254 0.231829343542283 7.55132670076879 0.0000000000000430846561434936 0.0000000000440899647868418 0.000000000270313132644279 TRUE 3
YIL014C-A 45.7760010797782 2.46094758301887 0.341086868242206 7.215017088466 0.000000000000539272039994671 0.000000000473018617938183 0.00000000338339277892657 TRUE 3
YAL067C 381.481738657539 2.67376123484855 0.379129570554599 7.05236795678406 0.0000000000017589830773346 0.00000000135001951185431 0.0000000110358598271973 TRUE 3
YBR240C 34.3529999211116 2.82071471445543 0.410976462563407 6.86344589386365 0.00000000000672189915870947 0.00000000458582898160846 0.0000000421731953217432 TRUE 3
YHR047C 530.789404381249 -1.07188669957942 0.159313942269065 -6.72814120542638 0.0000000000171844120130172 0.0000000105512289759926 0.00000010781500096967 TRUE 3
YNL030W 3072.10337882656 -0.737008177193719 0.109772670613419 -6.71394959305677 0.0000000000189425769567692 0.0000000105734020467784 0.00000011884572782677 TRUE 3
YHR137W 1509.94605662463 -1.05679777920335 0.164740147103165 -6.41493769300539 0.00000000014088046814596 0.000000070045189272882 0.000000883884057147752 TRUE 3
YKR093W 650.837825663071 -1.44415381397672 0.225398641294838 -6.40710966880965 0.000000000148304146668968 0.000000070045189272882 0.000000930460216201107 TRUE 3
YFR006W 1368.7276467483 -0.906006228076526 0.141693385079483 -6.39413214363041 0.000000000161461752363374 0.0000000708125113936512 0.00000101301103432781 TRUE 3
YBR022W 142.264561888953 1.17566146680526 0.184833288165585 6.3606587237253 0.000000000200890343687949 0.0000000822311140162672 0.00000126038601629819 TRUE 3
YJR024C 202.722786288466 1.24921290273714 0.197018806834752 6.34057693682466 0.000000000228906325553089 0.0000000878428024309978 0.00000143615828652008 TRUE 3
YBR183W 406.55059102693 -0.847489561351912 0.134618841222975 -6.29547508842524 0.000000000306459776986681 0.000000110686060629307 0.00000192272864081444 TRUE 3
YKL216W 4004.60473528304 1.21981791706819 0.19423481989237 6.28011969091906 0.000000000338312474948975 0.000000115402144232595 0.00000212257246782987 TRUE 3
YBR054W 1334.8423744555 1.59526369071894 0.257857958358449 6.18659862536166 0.000000000614762283311813 0.00000019866528523866 0.00000385701856549832 TRUE 3
YIR039C 38.3052083410354 2.55367058395127 0.419153769345749 6.09244332440874 0.00000000111200219274586 0.000000341384673172978 0.00000697670175728751 TRUE 3
YLR070C 131.564198733835 2.06480082541671 0.341437600699909 6.04737387207531 0.00000000147225840752216 0.000000430460315342193 0.00000923694924879402 TRUE 3
YJR010W 540.199499422778 1.93842888368977 0.32921601208303 5.88801520140185 0.0000000039086117527385 0.0000010908580073552 0.0000245226301366814 TRUE 3
YLR411W 9923.02144999756 -0.849025083680673 0.147542208853698 -5.75445555734198 0.00000000869214678718836 0.00000232042527275376 0.0000545345289428198 TRUE 3
YDR534C 2543.94931399229 1.63967321604135 0.292227082500146 5.61095570613492 0.0000000201212266771651 0.00000514768049157473 0.000126240576172534 TRUE 3
YGR234W 2214.30808498106 -1.42742037637551 0.25695720513499 -5.55508990544021 0.0000000277468910100356 0.00000655253503083149 0.000174083994196964 TRUE 3
YPL111W 836.301432179881 -1.44540253475475 0.260098810846427 -5.55712857760113 0.0000000274248743125848 0.00000655253503083149 0.000172063661437157 TRUE 3
YDL210W 23.41393713756 2.5819212400492 0.465908059914784 5.54169687582019 0.0000000299554529238447 0.00000681209188712616 0.000187940511644202 TRUE 3
YNL125C 1060.48332377657 -0.963348746279854 0.174706140627819 -5.5141092512146 0.0000000350550802439504 0.00000768707831063769 0.000219935573450545 TRUE 3
YBL019W 220.362392602744 0.955601561530889 0.174184152942443 5.48615672199902 0.0000000410772495709051 0.00000869704525397783 0.000257718663807858 TRUE 3
YOL143C 1223.5614726307 0.814997218226351 0.149546574985661 5.44978859131008 0.0000000504297298144593 0.000010321284702026 0.000316396124855917 TRUE 3
YNL259C 684.099956564858 0.797563537352728 0.14856536946403 5.36843505475096 0.0000000794227808008687 0.0000157308346489462 0.00049829852674465 TRUE 3
YBL106C 167.745847105203 1.10573216592158 0.206459334947119 5.35568985633318 0.0000000852305976749456 0.0000162776743125442 0.000534736769812609 TRUE 3
YDL144C 429.064441052737 0.929263662799565 0.17366277999834 5.35096618174861 0.0000000874858717123713 0.0000162776743125442 0.000548886359123417 TRUE 3
YLR004C 69.8644936451849 1.77210770964042 0.335565386280567 5.2809609753932 0.000000128508063016116 0.0000232070443211457 0.000806259587363112 TRUE 3
YJR078W 188.490428503458 1.1302830500918 0.215590030590476 5.24274265835061 0.000000158207122143446 0.0000277540494274502 0.00099259148432798 TRUE 3
YDR529C 3591.81201053469 -0.576673008283971 0.112370482800044 -5.1318904565901 0.00000028684643513222 0.0000488118078807206 0.00179967453401955 TRUE 3
YHR216W 47.1873487657697 1.72525971228623 0.336494107486178 5.12716173598105 0.000000294142816219326 0.0000488118078807206 0.00184545202896005 TRUE 3
YIL015W 19.3472380643756 2.24292623578578 0.449121185870065 4.99403347326099 0.000000591311422809982 0.0000955434772645603 0.00370988786670983 TRUE 3
YER069W 555.626636354956 1.78768205788575 0.364578167612469 4.90342597746001 0.000000941794426383135 0.000148272250717755 0.00590881823112779 TRUE 3
YEL024W 4503.6833532708 -0.772359386030428 0.157846922579025 -4.89309118867204 0.000000992643846153844 0.000152370830384615 0.00622784749076922 TRUE 3
YGR203W 152.307990992705 -1.033655417696 0.211501975502141 -4.88721400942913 0.00000102272903205697 0.000153159908703166 0.00641660194712544 TRUE 3
YOL152W 719.553348019156 -1.5588332270761 0.319468708933527 -4.87945511871852 0.00000106379327143417 0.000155516444919186 0.00667423898497801 TRUE 3
YLR231C 251.110969464373 1.22701559281719 0.252370700797111 4.86195738626422 0.00000116230648363473 0.000165966553709703 0.00729231087832427 TRUE 3
YJR077C 10918.1836522492 -0.507764463894315 0.105273785636695 -4.82327543199251 0.00000141219747127193 0.000197065738036583 0.0088601269347601 TRUE 3
YML085C 1170.88562174894 -0.64312573348148 0.133918960270459 -4.80235010922008 0.00000156814197202124 0.000213964260182453 0.00983852273246125 TRUE 3
YER057C 447.364179362941 0.735349936755108 0.153920147104966 4.77747683189021 0.00000177508494950191 0.000236935251955254 0.011136882973175 TRUE 3
YER187W 32.2399866833014 2.27404665336721 0.476550602211549 4.77188916101238 0.00000182505936804512 0.000238422649357383 0.0114504224751151 TRUE 3
YPR013C 242.780620425359 0.940196034571221 0.197480665188251 4.76095233766286 0.00000192681553706347 0.000246471820782702 0.0120888406795362 TRUE 3
YMR188C 1525.96470937691 -0.888849681320326 0.187159437671985 -4.74915768275667 0.00000204265633821862 0.000255957345238007 0.0128156258659837 TRUE 3
YER045C 58.2129850063734 1.80603134615277 0.382791958726194 4.71804933458543 0.0000023811675833971 0.000292407379241163 0.0149394454182334 TRUE 3
YOR187W 8378.08473233122 -0.892318596431932 0.189594420130823 -4.70646022080301 0.00000252055141631965 0.00030345462149417 0.0158139395859895 TRUE 3
YBL008W 171.09679895355 0.829456819283582 0.176436113601919 4.70117371296802 0.0000025867033855852 0.000303897236620014 0.0162289770411616 TRUE 3
YKL155C 574.433392576332 -0.740704191419259 0.157653289434133 -4.69831104747561 0.00000262321718906527 0.000303897236620014 0.0164580646441955 TRUE 3
YJR048W 4785.00068681733 -0.796908203047226 0.172148823844267 -4.62918180473972 0.00000367113357953436 0.000417421484784092 0.0230326920779986 TRUE 3
YDL024C 21.9358762480346 2.02762666926274 0.439001494866343 4.6187238380135 0.00000386107320992152 0.000431036172889421 0.0242243733190476 TRUE 3
YGL196W 1099.91988898033 -0.992842807306772 0.216915526621963 -4.57709423925693 0.00000471479098371413 0.0005169431542858 0.0295805986318225 TRUE 3
YHR015W 25.7591263624506 1.72986941647201 0.378495063536249 4.57038831711561 0.00000486821308053999 0.000524400496745886 0.0305431688673079 TRUE 3
YNL333W 24.5261275953547 2.05079964242403 0.450249428434126 4.55480787517328 0.00000524334785173225 0.000555071651890276 0.0328967644217681 TRUE 3
YFR033C 5237.63366987877 -0.550659855559937 0.122082890613013 -4.51054077106887 0.0000064662571233253 0.000672929131139277 0.040569297191743 TRUE 3
YBR055C 235.416227373617 1.10684148243404 0.246979014597328 4.48152036009467 0.00000741131608605954 0.000758424679473426 0.0464985971239375 TRUE 3
YDR194C 3603.64618626728 -0.669511040810981 0.151585623509479 -4.41671858656911 0.0000100210557779447 0.000992407781880335 0.0628721039508253 TRUE 3
YFL017C 241.609389554478 0.707943712743475 0.160250311537076 4.41773688895251 0.00000997397303828486 0.000992407781880335 0.0625767068421992 TRUE 3
YDR380W 9061.63118801138 -0.806951428237587 0.184180066015854 -4.38131794440842 0.0000117963586531387 0.00114967685921066 0.0740103541897924 TRUE 3
YKR102W 509.474265014995 -1.46592323072452 0.335843879049359 -4.36489488768999 0.0000127183900333415 0.0012201705438237 0.0797951790691845 TRUE 3
YBR293W 176.354293818134 1.39468799418452 0.319961323888313 4.35892681414005 0.0000130701809487314 0.00123462940038786 0.0820023152723407 TRUE 3
YDR421W 599.278143491694 -0.849226901492636 0.195522712261972 -4.34336702712469 0.0000140315421170262 0.00130535861512941 0.0880338952422225 TRUE 3
YHR037W 2601.99859421486 -1.13838611065485 0.2635524942929 -4.31939038827574 0.0000156460796019272 0.0013723846965119 0.098163503422491 TRUE 3
YLR438W 267.900382008568 -1.19195079841199 0.275765887141976 -4.32232866350987 0.0000154390969889363 0.0013723846965119 0.0968648945085865 TRUE 3
YOR065W 4998.34201419282 -0.73926836094879 0.171014798810184 -4.32283267934803 0.000015403855643643 0.0013723846965119 0.096643790308216 TRUE 3
YPR020W 2324.83116443561 -0.484812030099744 0.112104163093892 -4.32465678989719 0.0000152769517710231 0.0013723846965119 0.0958475954113986 TRUE 3
YIL166C 251.308963384942 -0.85316392324316 0.199439074417342 -4.27781730202903 0.0000188734820934759 0.00163215746554848 0.118412226654468 TRUE 3
YGL263W 19.0160065221631 1.80351655189236 0.422540567726865 4.26826839750491 0.0000196996215684196 0.001679939950418 0.123595425720264 TRUE 3
YHR190W 1939.89509549106 -0.498110188217736 0.116891858333586 -4.26129069482521 0.0000203249653315713 0.00168642279913308 0.127518832490278 TRUE 3
YIR029W 269.918052282311 0.945427032262376 0.221810526465404 4.26231814751061 0.0000202317125286543 0.00168642279913308 0.126933764404777 TRUE 3
YNR071C 18.1563511128808 2.07522024463526 0.488213192358229 4.25064352442274 0.0000213157192475407 0.00174504688239867 0.133734822559071 TRUE 3
YBR104W 142.826246009107 1.08773635196751 0.256158179656808 4.24634635296373 0.0000217284662033356 0.00175543134853264 0.136324396959728 TRUE 3
YBR062C 201.276136410919 0.889097529849719 0.209884864930653 4.23612026595382 0.000022741500375112 0.00181341314679464 0.142680173353453 TRUE 3
YDR274C 74.7118981064832 2.41822303815514 0.578937355988564 4.17700294019878 0.0000295375208988071 0.00224334497413093 0.185318406119116 TRUE 3
YEL021W 549.840366870681 0.902171883902715 0.215576149087241 4.18493366600411 0.000028524938702537 0.00224334497413093 0.178965465419717 TRUE 3
YKL187C 332.860228178226 -0.905690397441919 0.216969800168259 -4.17426939942591 0.0000298943844026351 0.00224334497413093 0.187557367742133 TRUE 3
YKR091W 92.6299684579647 -0.937167526271002 0.224603465988754 -4.17254258363906 0.0000301219279385931 0.00224334497413093 0.188984975886733 TRUE 3
YPR124W 5365.56603228839 -0.911470475532736 0.218525159800701 -4.17100930787106 0.0000303253473701738 0.00224334497413093 0.190261229400471 TRUE 3
YPR133W-A 531.819072961097 -0.680111932319818 0.162694930046285 -4.18028965085964 0.0000291138014968026 0.00224334497413093 0.182659990590939 TRUE 3
YOR212W 49.0580085153891 1.16976396432314 0.282417413803582 4.14196826098229 0.0000344338002755329 0.00251694682966396 0.216037662928694 TRUE 3
YBR284W 266.060234759052 1.02726483382269 0.248984820825182 4.12581309341727 0.0000369427212881224 0.00266856833775379 0.23177863336168 TRUE 3
YLL039C 4024.73210712324 -1.24322939605553 0.303316808169914 -4.09878174426486 0.0000415330448855614 0.00296526622787613 0.260578323612012 TRUE 3
YIR028W 31.0079478108049 1.36549364723339 0.333399356299928 4.09566971690546 0.000042094971144882 0.00297084049229397 0.26410384896299 TRUE 3
YBL023C 281.966020958619 0.981210769901176 0.240233708921157 4.08440087075041 0.0000441906860395192 0.00308330468503009 0.277252364211943 TRUE 3
YFR055W 1657.3286172399 -0.712321947542623 0.174854157411411 -4.07380618275271 0.0000462509765980865 0.00319079771137361 0.290178627176394 TRUE 3
YHR029C 68.2582436408505 1.08508213708135 0.266856883597777 4.06615756900184 0.0000477946270786033 0.00326065566958471 0.299863490291157 TRUE 3
