longueur_mm	poids_total_g	poids_gonades_mg	age_annee	oeufs_nombre
420	785	74.1	12	10676
442	850	54.5	10	9461
397	655	49.6	9	8328
421	790	71.6	9	10281
464	965	69.4	11	14028
436	880	31.3	9	4984
424	840	79.5	8	13697
440	1030	100.1	12	17206
420	770	79.0	10	13485
421	890	99.1	10	14055
487	1310	111.3	12	23047
425	835	116.9	10	15556
420	830	97.7	10	13427
436	940	87.6	11	19942
404	680	65.0	9	11279
409	715	69.1	10	12707
472	1035	80.3	13	14606
435	875	93.3	11	13659
462	1005	115.5	11	16950
434	840	106.6	9	13279
430	770	109.2	11	17484
443	1030	119.2	11	19980
432	855	74.4	10	15807
439	965	113.2	11	22618
420	790	82.4	11	12571
450	855	95.1	10	15051
448	1040	99.4	11	18579
438	895	77.7	11	14758
410	835	101.9	10	14778
412	745	73.4	11	12503
442	955	100.2	12	13139
473	1245	170.3	13	23982
430	845	99.7	9	16207
430	825	79.9	9	10955
445	1020	100.3	10	18147
442	975	98.1	10	15085
429	850	96.7	10	15662
414	790	98.5	9	14052
455	1205	156.7	10	25834
429	955	98.1	9	13485
467	1000	110.7	12	16571
