MOA_groupID,MOA_plantID,MOA_sampleID,MOA_proteomicsPoolID,proteomicsPool,Genotype,Treatment,PlantNumber,LeafNumber,LeafPosition,Dpi,PlantNo/Leaf,CommentTS_FIX,Date:Planting,Date:Treatment,Date:Measurement/Observation,Replicate,BiosampleName,Organism*,Infraspecific name,Life stage,"Material Source: Holding Institute/Stock Centre, accession*",Body part,Treatment
MOAg_06,MOAp_007,MOAs_0102,MOA_pPool01,pool1C,D-COI,MOCK,1,3,BOTTOM,4,1/3S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée-COI); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_06,MOAp_018,MOAs_0108,MOA_pPool01,pool1C,D-COI,MOCK,4,2,BOTTOM,4,4/2S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée-COI); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_06,MOAp_008,MOAs_0104,MOA_pPool02,pool2C,D-COI,MOCK,2,3,BOTTOM,4,2/3S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée-COI); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_06,MOAp_020,MOAs_0112,MOA_pPool02,pool2C,D-COI,MOCK,6,2,BOTTOM,4,6/2S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée-COI); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_06,MOAp_009,MOAs_0106,MOA_pPool03,pool3C,D-COI,MOCK,3,3,BOTTOM,4,3/3S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée-COI); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_06,MOAp_019,MOAs_0110,MOA_pPool03,pool3C,D-COI,MOCK,5,2,BOTTOM,4,5/2S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée-COI); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_18,MOAp_065,MOAs_0395,MOA_pPool04,pool4C,D-COI,PVY,1,3,BOTTOM,4,1/3S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée-COI); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_18,MOAp_076,MOAs_0401,MOA_pPool04,pool4C,D-COI,PVY,4,2,BOTTOM,4,4/2S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée-COI); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_18,MOAp_066,MOAs_0397,MOA_pPool05,pool5C,D-COI,PVY,2,3,BOTTOM,4,2/3S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée-COI); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_18,MOAp_078,MOAs_0405,MOA_pPool05,pool5C,D-COI,PVY,6,2,BOTTOM,4,6/2S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée-COI); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
