dataType	sampleName	condition	sampleNumber	color
transcriptome	day14_12	day14	12	#FF4400
transcriptome	day14_13	day14	13	#FF4400
transcriptome	day14_14	day14	14	#FF4400
transcriptome	day14_15	day14	15	#FF4400
transcriptome	day3_4	day3	4	#FFBB44
transcriptome	day3_5	day3	5	#FFBB44
transcriptome	day3_6	day3	6	#FFBB44
transcriptome	day3_7	day3	7	#FFBB44
transcriptome	day7_10	day7	10	#FF8800
transcriptome	day7_11	day7	11	#FF8800
transcriptome	day7_8	day7	8	#FF8800
transcriptome	day7_9	day7	9	#FF8800
transcriptome	normal_1	normal	1	#BBFFBB
transcriptome	normal_2	normal	2	#BBFFBB
transcriptome	normal_3	normal	3	#BBFFBB
