	ENSG	name	description
ENSG00000000003.14	ENSG00000000003	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]
ENSG00000000419.12	ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]
ENSG00000000457.13	ENSG00000000457	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ENSG00000000460.16	ENSG00000000460	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000000938.12	ENSG00000000938	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]
ENSG00000000971.15	ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]
ENSG00000001036.13	ENSG00000001036	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]
ENSG00000001084.10	ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]
ENSG00000001167.14	ENSG00000001167	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]
ENSG00000001460.17	ENSG00000001460	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]
ENSG00000001461.16	ENSG00000001461	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000001497.16	ENSG00000001497	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]
ENSG00000001561.6	ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]
ENSG00000001617.11	ENSG00000001617	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]
ENSG00000001629.9	ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]
ENSG00000001630.15	ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]
ENSG00000001631.15	ENSG00000001631	KRIT1	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]
ENSG00000002016.17	ENSG00000002016	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]
ENSG00000002330.13	ENSG00000002330	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]
ENSG00000002549.12	ENSG00000002549	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]
ENSG00000002586.18	ENSG00000002586	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]
ENSG00000002587.9	ENSG00000002587	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]
ENSG00000002822.15	ENSG00000002822	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]
ENSG00000002834.17	ENSG00000002834	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]
ENSG00000002919.14	ENSG00000002919	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]
ENSG00000002933.7	ENSG00000002933	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]
ENSG00000003056.7	ENSG00000003056	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]
ENSG00000003096.13	ENSG00000003096	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]
ENSG00000003137.8	ENSG00000003137	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]
ENSG00000003147.17	ENSG00000003147	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]
ENSG00000003249.13	ENSG00000003249	DBNDD1	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]
ENSG00000003393.14	ENSG00000003393	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]
ENSG00000003400.14	ENSG00000003400	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]
ENSG00000003402.19	ENSG00000003402	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]
ENSG00000003436.14	ENSG00000003436	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]
ENSG00000003509.15	ENSG00000003509	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]
ENSG00000003756.16	ENSG00000003756	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]
ENSG00000003987.13	ENSG00000003987	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]
